Item ID,Countries,Language,Item title,Issue title,Severity,Source,Channel,Product type,Custom label 0,Custom label 1,Custom label 2,Custom label 3,Custom label 4,Category,Additional information
Z76-2316-008-04,BR,pt,Camiseta Feminina Serotonin & Dopamine - Feminino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Feminino > Azul,Roupas,Camisetas,"GEN-FEMININO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2316-008-01,BR,pt,Camiseta Feminina Serotonin & Dopamine - Feminino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Feminino > Azul,Roupas,Camisetas,"GEN-FEMININO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2317-008-01,BR,pt,Camiseta Serotonin & Dopamine - Masculino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Masculino > Azul,Roupas,Camisetas,"MASCULINO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2317-008-07,BR,pt,Camiseta Serotonin & Dopamine - Masculino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Masculino > Azul,Roupas,Camisetas,"MASCULINO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2316-008-02,BR,pt,Camiseta Feminina Serotonin & Dopamine - Feminino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Feminino > Azul,Roupas,Camisetas,"GEN-FEMININO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2317-008-04,BR,pt,Camiseta Serotonin & Dopamine - Masculino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Masculino > Azul,Roupas,Camisetas,"MASCULINO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2317-008-02,BR,pt,Camiseta Serotonin & Dopamine - Masculino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Masculino > Azul,Roupas,Camisetas,"MASCULINO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2317-008-05,BR,pt,Camiseta Serotonin & Dopamine - Masculino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Masculino > Azul,Roupas,Camisetas,"MASCULINO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2316-008-05,BR,pt,Camiseta Feminina Serotonin & Dopamine - Feminino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Feminino > Azul,Roupas,Camisetas,"GEN-FEMININO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2317-008-03,BR,pt,Camiseta Serotonin & Dopamine - Masculino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Masculino > Azul,Roupas,Camisetas,"MASCULINO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
Z76-2316-008-03,BR,pt,Camiseta Feminina Serotonin & Dopamine - Feminino - Azul,Medicamentos controlados e vendidos sem receita,DISAPPROVED,Content API,online,Roupas > Camisetas > Studio Geek > Feminino > Azul,Roupas,Camisetas,"GEN-FEMININO,BS-Moda",3,13025-Studio Geek,Vestuário e acessórios > Roupas > Camisetas e tops,
